Month,StateID,State,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
1/1/2019,AK,Alaska,280000,0.0004,0.0382,2679,-0.1164,-0.0335,120,0.0526,0.0811,582,0.5,-0.1686,36,0.8,0.5,456,0.1515,-0.1264,1,,,167,0.005,0.0325,1707,-0.0076,0.0153,320400,-0.008,0.0181
1/1/2019,AL,Alabama,212700,0.0085,0.0908,24469,-0.0437,-0.0556,107,0.049,-0.0183,6122,0.4304,0.0932,506,0.2048,-0.0595,3818,0.1784,0.0501,72,0.0746,17,102,0.0034,0.0809,1953,-0.0023,-0.0237,280100,-0.0028,0.0765
1/1/2019,AR,Arkansas,178300,-0.0067,0.0494,16188,-0.0329,0.0152,102,0.0515,-0.0467,3766,0.3279,0.1262,134,0.5952,-0.2209,2210,0.3313,0.1882,1046,-0.0719,-0.1412,97,0.0009,0.0368,1900,-0.0073,0.0005,241300,-0.0037,0.0268
1/1/2019,AZ,Arizona,324500,0.0172,0.0502,30871,0.0027,0.0099,66,0.1,-0.0149,12326,0.4646,0.0095,924,0.3051,-0.1569,10954,0.3109,0.2147,7002,-0.0501,1.8109,166,0.0082,0.0633,2017,0.0045,-0.0098,508700,0.0285,0.0348
1/1/2019,CA,California,517000,-0.0152,0.0382,83937,-0.0847,0.2798,66,0.1,0.1579,35956,0.5194,0.0871,1332,0.2198,-0.0472,16786,0.1564,0.5569,18565,-0.1541,0.3428,293,-0.0143,0.0628,1781,-0.0014,-0.0297,938300,-0.0026,-0.0238
1/1/2019,CO,Colorado,435000,0.0023,-0.0107,26298,-0.0923,0.4514,81,0.08,-0.1383,9118,0.4899,0.1571,654,0.2874,-0.1066,4680,0.1607,0.8454,2164,-0.1228,0.0005,187,0.0112,0.0579,2304,-0.0097,-0.0623,803200,0.0393,-0.0984
1/1/2019,CT,Connecticut,339700,-0.0006,0.0006,18766,-0.0977,0.0641,109,0.09,0.0583,4040,0.4306,0.0648,118,1.2692,0.0536,2820,0.2051,0.1217,22,-0.2414,0.1579,177,0.0042,0.0029,1898,-0.0115,0.0147,729100,0.0004,0.0115
1/1/2019,DC,District of Columbia,596700,-0.0038,0.0825,1568,-0.1356,0.1168,65,0.1818,0.1404,668,0.2014,0,14,-0.3,-0.3636,320,-0.0244,0.3333,3,0.5,,476,-0.0292,-0.1157,1450,0.0424,0.2993,899100,0.0519,0.0093
1/1/2019,DE,Delaware,297200,0.0075,0.0618,4791,-0.0746,-0.0919,112,0.098,-0.0667,1184,0.3516,0.026,128,0.7778,0.0667,706,0.0028,-0.0972,0,,,147,0.0102,0.0451,1957,-0.0038,0.0303,379300,0.0115,0.042
1/1/2019,FL,Florida,319300,0.0044,0.0041,167540,0.0121,0.1317,85,0.0625,0.0366,50246,0.3737,0.0734,3924,0.2386,-0.0382,44746,0.3471,0.3114,32502,-0.0405,-0.1194,178,0.0105,0.0273,1746,-0.002,-0.0183,617800,0.011,-0.0015
1/1/2019,GA,Georgia,276200,-0.01,0.0411,67456,-0.0465,0.1496,80,0.0811,-0.0123,23202,0.3794,0.2313,2344,0.3886,-0.0076,14202,0.2015,0.5128,19136,-0.0398,0.9689,114,0.0025,0.0682,2320,-0.0088,-0.0165,382400,-0.0031,0.0233
1/1/2019,HI,Hawaii,678800,0.0056,0.0335,7508,0.0303,0.1097,84,-0.0562,-0.0769,2102,0.173,0.1098,68,0.4167,-0.2766,1246,0.1327,0.3632,367,-0.0938,,494,0.0141,-0.0019,1355,-0.0091,-0.0163,1244700,0.0115,-0.0602
1/1/2019,IA,Iowa,195000,0.0263,0.0317,12864,-0.0565,0.05,93,0.0449,-0.0211,3362,0.4592,0.1289,112,0.75,0.1667,1636,-0.0376,0.0501,2549,-0.0673,0.2544,117,0.0104,0.0568,1620,-0.0038,-0.0041,238400,0.0171,0.0303
1/1/2019,ID,Idaho,332400,0.0076,0.1102,7053,-0.124,-0.0827,84,0.05,-0.1515,2250,0.3522,0.0817,154,-0.2143,-0.6638,1316,0.1345,0.3401,147,0.1136,0.1667,160,0.0046,0.1293,2145,0.006,-0.0139,541300,0.0312,0.0859
1/1/2019,IL,Illinois,225000,0,0.0412,55076,-0.0746,0.0209,84,0.1053,-0.0345,16538,0.575,0.0571,406,0.4926,-0.0856,8250,0.0318,0.0073,5346,-0.0237,0.072,120,-0.005,0.0597,1757,-0.005,-0.0158,335700,0.0027,0.0048
1/1/2019,IN,Indiana,177500,-0.0111,0.1094,19543,-0.0789,-0.0487,83,0.1216,-0.046,5530,0.2064,0.095,210,0.3462,-0.0541,4032,0.0381,0.1163,1965,-0.0339,-0.1927,91,0.0021,0.0737,1908,-0.0099,0.0074,240200,-0.0037,0.0521
1/1/2019,KS,Kansas,169900,-0.0122,0.0468,10331,-0.0577,0.0213,92,0.1084,0.0222,2738,0.2989,0.0156,190,0.9792,0.25,1742,0.1521,0.143,227,0.0509,0.1885,87,0.0015,0.0808,1950,0,0.0435,257100,0.0039,0.0968
1/1/2019,KY,Kentucky,189300,-0.0032,0.0731,15280,-0.0681,0.0438,92,0.0698,-0.0417,4304,0.362,0.189,144,-0.2174,-0.25,2686,0.2389,0.143,3627,-0.0733,-0.1264,102,0.002,0.0665,1881,-0.0083,0.0029,258300,-0.0141,0.0487
1/1/2019,LA,Louisiana,220000,0,0.0343,19263,-0.0396,0.0758,102,0.0625,0.0625,4852,0.4187,0.1742,218,0.5571,0.3974,3968,0.3683,0.1475,2572,-0.0081,0.013,116,0.0002,0.0429,1899,-0.0003,-0.0013,289700,-0.001,0.0158
1/1/2019,MA,Massachusetts,449900,-0.0002,0.0283,16930,-0.1272,0.2081,82,0.1233,-0.0575,5642,0.4989,0.2493,176,0.5172,0.0233,3130,0.0632,0.4585,255,-0.1694,-0.4492,246,0.0022,0.0581,1800,-0.0022,-0.0161,691100,0.0095,-0.031
1/1/2019,MD,Maryland,310000,-0.0127,0.0337,21322,-0.0961,0.0287,83,0.1216,-0.0349,5902,0.1153,0.0179,504,0.1667,-0.0836,4240,0.0271,0.1337,13,0.0833,-0.9651,165,-0.0059,-0.0878,1848,-0.0024,0.0072,402800,0.0126,0.0083
1/1/2019,ME,Maine,239000,-0.0038,0.0622,8304,-0.122,-0.0073,149,0.1288,-0.051,1022,0.1995,-0.119,24,0,-0.4783,824,0.0729,0.1573,84,0,-0.8807,141,-0.0056,0.0605,1693,-0.0038,-0.005,348800,-0.0099,0.032
1/1/2019,MI,Michigan,189900,-0.0068,0.1177,35599,-0.0883,0.0653,88,0.1,-0.0833,10076,0.2082,0.1241,390,0.0372,-0.2642,5984,0.036,0.2405,2571,-0.1004,3.365,116,0.0003,0.098,1620,-0.0074,0.0125,285700,-0.0024,0.0496
1/1/2019,MN,Minnesota,270700,0.0215,0.0616,15713,-0.1883,0.0283,93,0.1772,-0.0211,5012,0.4864,0.0769,152,0.2258,-0.4063,2324,0.0357,0.2362,4936,-0.1714,-0.0443,140,0.0275,0.0777,2004,-0.006,-0.0169,358200,0.0311,0.0156
1/1/2019,MO,Missouri,186700,-0.0116,0.0675,24851,-0.0915,-0.0271,94,0.093,0.0108,6238,0.1996,-0.0019,242,0.8906,-0.3006,3748,0.0411,0.0895,2095,-0.0689,-0.3488,106,0.0006,0.0803,1734,-0.0043,0.0032,256400,-0.0047,0.0586
1/1/2019,MS,Mississippi,189000,0,0.05,10925,-0.0406,-0.0582,117,0.0541,0.0446,2404,0.4378,0.0839,124,0.8235,-0.0159,1766,0.4196,0.0575,1513,-0.0632,0.6608,94,0.0063,0.0289,1986,-0.0068,0.0005,246600,-0.004,0.0322
1/1/2019,MT,Montana,329000,-0.0009,0.0284,7448,-0.092,0.0168,136,0.0968,0.0226,1272,0.3305,0.0016,50,0.3889,0.3158,634,0.248,0.248,399,-0.0386,-0.1326,157,-0.0045,0.0304,2132,-0.0079,-0.0318,556400,-0.0137,-0.0438
1/1/2019,NC,North Carolina,279000,0.0036,0.0337,47396,-0.0739,-0.0759,109,0.0187,0.0187,12260,0.5379,0.0618,1024,0.3838,-0.2207,8044,0.3859,0.227,8252,-0.0303,0.0113,130,0.0051,0.0189,2128,0.0014,0.0007,369200,-0.0014,-0.0014
1/1/2019,ND,North Dakota,229900,-0.0004,0,3351,-0.0894,0.041,103,0,0,816,1,0.0175,20,0.6667,0,392,-0.0297,0.0155,13,0.625,0.8571,110,0.0013,0.0068,2118,-0.0119,-0.0056,273000,-0.0036,0.038
1/1/2019,NE,Nebraska,227300,0.0102,0.0355,4881,-0.0817,0.1151,73,0.0735,-0.0395,1736,0.3955,0.1682,70,0.1667,-0.1463,812,0.2303,0.4346,835,-0.0324,-0.6371,121,0.0272,0.0635,1842,-0.0016,0.0005,276700,0.0004,0.0029
1/1/2019,NH,New Hampshire,312100,0.0071,0.0766,6051,-0.1213,-0.0474,102,0.0851,-0.0642,1362,0.3566,0.1256,60,0,-0.4915,658,-0.06,0.3213,2,0,-0.6667,160,0.0119,0.0689,1919,-0.0144,0.0042,404600,0.0015,0.0436
1/1/2019,NJ,New Jersey,340000,-0.0216,0.124,43079,-0.0623,0.0419,82,0.038,-0.0465,13960,0.53,0.1044,372,0.2237,-0.051,7736,0.1109,0.0826,38,-0.0732,-0.8886,164,0.022,0.1066,1816,-0.0006,0.0359,511100,0.0053,0.0551
1/1/2019,NM,New Mexico,238800,-0.0008,0.0538,7902,-0.1014,-0.1315,110,0.068,-0.0351,1954,0.1414,-0.0431,74,0.1563,-0.2128,1276,0.2222,-0.0618,1894,-0.0985,1.1474,122,0.0001,0.0377,1961,-0.0003,0.024,363700,-0.0038,0.056
1/1/2019,NV,Nevada,328800,-0.0173,0.0617,12588,-0.0121,0.1116,67,0.0806,0.0308,4968,0.5128,0.2303,266,0.3854,-0.2963,4036,0.4602,1.6835,1142,-0.1168,3.0786,177,-0.0034,0.1118,1852,-0.0128,-0.0304,575400,-0.0214,0.0487
1/1/2019,NY,New York,417000,0.0048,0.1599,64375,-0.083,0.0952,104,0.0947,-0.037,15212,0.393,0.1505,602,0.3087,0.1712,8710,0.1509,0.2786,8308,-0.0831,0.0211,188,0.0107,0.1381,1767,-0.0079,-0.0098,976600,0.0075,0.0051
1/1/2019,OH,Ohio,164700,-0.0012,0.1128,35328,-0.1093,-0.0428,80,0.1594,-0.0698,10006,0.1454,0.0328,308,0.4528,-0.1895,6508,-0.0275,0.099,6489,-0.0119,0.0095,94,0.0022,0.0257,1738,-0.0056,0.0677,236100,0.0047,0.0674
1/1/2019,OK,Oklahoma,189900,0.0021,0.0568,15889,-0.064,-0.0749,84,0.0244,0.012,4616,0.2695,-0.0359,140,0.1667,-0.3578,2988,0.1284,-0.0448,1981,-0.0929,22.8675,99,0.0044,0.0394,1910,-0.0033,0.0057,260000,0.0054,0.0753
1/1/2019,OR,Oregon,399900,0,0.028,14711,-0.104,0.1187,86,0.075,0.0361,5302,0.578,0.1143,376,0.8077,0.2051,3076,0.0846,0.3362,718,-0.0602,-0.2711,209,0.0046,0.0595,1938,0.0013,-0.0122,535300,0.0043,0.0286
1/1/2019,PA,Pennsylvania,194900,-0.0036,0.0541,46127,-0.0636,-0.0225,101,0.1222,-0.0472,11578,0.291,0.0762,582,0.2652,-0.1074,7474,0.0857,0.0081,2207,-0.0839,0.1324,114,-0.0047,0.0242,1795,0.0017,0.031,285000,-0.0056,0.0413
1/1/2019,RI,Rhode Island,332500,0.0079,0.0231,3945,-0.12,0.1412,76,0.1343,-0.1163,1100,0.1364,0.2195,10,-0.5,-0.5455,598,0.0382,0.4515,1012,-0.0462,-0.0524,207,0.0034,0.0328,1600,0.0165,0.0098,521000,0.0099,-0.0218
1/1/2019,SC,South Carolina,260000,-0.0034,0.0404,33831,-0.0335,0.0158,97,0.0211,-0.0102,8882,0.6497,0.1083,1032,0.2524,-0.1179,5634,0.208,0.1826,2596,-0.0615,0.1832,133,0.0033,0.0662,1929,-0.0113,-0.008,382100,-0.0055,0.0389
1/1/2019,SD,South Dakota,231500,0.0065,0.0271,3274,-0.0664,0.004,87,0.0741,0.0116,834,0.4281,-0.0118,26,0.3,-0.1333,300,0.4706,-0.0566,57,0.0556,13.25,119,0.0072,0.0557,1978,-0.0018,-0.0028,286600,-0.0003,-0.0042
1/1/2019,TN,Tennessee,267100,0.0083,0.0688,32221,-0.0589,0.0858,80,0.0959,-0.0244,9674,0.3618,0.2062,612,0.3661,0.0132,5550,0.1253,0.2422,4251,-0.0581,0.0031,130,0.0114,0.1001,2078,-0.0088,0.0005,359600,0.0053,0.0658
1/1/2019,TX,Texas,279900,-0.0004,0.0178,101796,-0.0541,0.0993,80,0.0526,-0.0123,35266,0.3974,0.1547,3774,0.0391,0.0619,23606,0.2556,0.2987,22397,-0.1361,-0.0521,126,0.0024,0.0432,2200,-0.0059,-0.0135,385400,-0.0059,0.0036
1/1/2019,UT,Utah,380500,0.0147,0.0646,11942,-0.062,0.2273,73,0.1231,0.0139,4196,0.2654,0.1142,458,0.5066,-0.5107,2508,0.2416,0.5675,4907,-0.0659,-0.1154,148,0.014,0.0904,2556,-0.0014,-0.0154,644400,0.0301,-0.0074
1/1/2019,VA,Virginia,294900,-0.0003,0.0204,34187,-0.1106,-0.0166,93,0.069,0,9616,0.4941,0.0191,636,0.5588,-0.1697,4962,0.2343,0.0114,5057,0.0185,0.0676,141,-0.0016,0.0225,2052,0.0044,0.027,404300,-0.0134,-0.0059
1/1/2019,VT,Vermont,275000,0,0.0618,5166,-0.0651,-0.0561,164,0.1007,-0.0787,564,0.41,0.0144,30,2.75,0.3636,418,0.3933,0.2011,9,0,-0.1,140,-0.0023,0.0265,2000,0,0.0275,393100,0.0036,0.0256
1/1/2019,WA,Washington,427500,0.0059,0.157,15495,-0.1525,0.3098,74,0.0725,0,6460,0.4912,0.0653,384,0.1707,-0.1864,3202,-0.0117,0.6764,4930,-0.0785,-0.0894,209,-0.0027,0.1549,2052,0.0081,-0.0094,602400,0.015,0.1059
1/1/2019,WI,Wisconsin,222000,0.0095,0.1106,21664,-0.1046,-0.0362,100,0.1236,-0.0826,5020,0.3883,0.1052,116,0.16,-0.0794,2438,0.0125,0.1132,400,0.023,0.4981,122,0.0092,0.0618,1738,-0.0011,0.0113,293700,0.0058,0.0474
1/1/2019,WV,West Virginia,165000,0,0.0611,8048,-0.071,-0.0369,119,0.0721,-0.0325,1438,0.3515,0.0466,54,0.6875,0.6875,896,0.1789,-0.0022,716,0.0056,0.2409,90,-0.0028,0.0149,1798,-0.0011,0.0372,228300,0.004,0.0759
1/1/2019,WY,Wyoming,249500,-0.002,0.0113,3493,-0.0784,-0.0526,124,0.0508,-0.0462,632,0.5192,-0.1198,28,0.75,0.2727,358,0.0407,-0.1864,302,0.045,0.1396,117,-0.0012,0.0291,2124,-0.0099,0.0137,537300,0.0066,0.1432
